real_data,DecisionTree,RandomForest,SVR,MLP,GRU,LSTM,SLSTM,BiLSTM,NLSTM,EMD-LSTM,EMD-SLSTM,EMD-BiLSTM,EMD-NLSTM,SWT-LSTM,SWT-SLSTM,SWT-BiLSTM,SWT-NLSTM,EWT-LSTM,EWT-SLSTM,EWT-BiLSTM,EWT-NLSTM,VMD-LSTM,VMD-SLSTM,VMD-BiLSTM,VMD-NLSTM,Proposed,SSA-SLSTM,SSA-BiLSTM,SSA-NLSTM,iTransformer
0.0922383,0.0965534,0.127384964,0.115011614,0.166759353,0.17906989,0.17433985,0.1830474,0.16523127,0.18124413,0.115115455,0.122401939,0.121545218,0.115860634,0.17562588,0.1830705,0.19043976,0.1933295,0.128984223,0.11437593,0.124508263,0.100162843,0.077807715,0.087758377,0.101354518,0.104234583,0.096184348,0.092955777,0.085832142,0.098798614,0.11252544
0.094105,0.071165,0.081401038,0.08904738,0.284166493,0.15086447,0.1397162,0.1433437,0.13652328,0.1373141,0.085252807,0.093243548,0.090673184,0.077976304,0.12464273,0.11928463,0.12521227,0.12385626,0.101700054,0.085346627,0.107787864,0.082723673,0.107375519,0.122342495,0.126814326,0.129960542,0.094976718,0.09245731,0.086875799,0.100199093,0.102104686
0.0772267,0.0634033,0.099135022,0.090222878,0.270801835,0.13233134,0.12513539,0.13336498,0.12941389,0.12759285,0.060240323,0.061029964,0.066417067,0.058280512,0.09596831,0.0925825,0.093972705,0.10187685,0.102430029,0.086456141,0.113793004,0.087813751,0.073174551,0.081229041,0.096276456,0.090126505,0.085365951,0.083483303,0.075080612,0.09052747,0.1139512
0.06101,0.0635866,0.084405116,0.070683559,0.086185707,0.10326134,0.105725706,0.10148099,0.1043463,0.09174146,0.094250489,0.097083968,0.100314298,0.079009654,0.097103834,0.091544755,0.094813116,0.0890504,0.079987749,0.056486857,0.078491166,0.058178186,0.066874372,0.061866005,0.088013244,0.069345992,0.072733407,0.073903557,0.065336052,0.081083555,0.08169173
0.1912753,0.0639884,0.06613674,0.064340961,0.075545858,0.08110624,0.084353134,0.078152806,0.08356692,0.07114474,0.135895214,0.145295188,0.141528618,0.126889955,0.15649718,0.14682816,0.15720528,0.1505297,0.078078734,0.049636398,0.067491644,0.039816543,0.146365265,0.159974893,0.165267711,0.132141239,0.198023787,0.199417973,0.199540952,0.19516945,0.06944404
0.18318,0.0880784,0.188949716,0.174479981,0.320936381,0.16847709,0.16834538,0.19953872,0.17887117,0.20105512,0.13844682,0.137865437,0.139700063,0.148933766,0.1841675,0.17193483,0.18307887,0.18028332,0.15953336,0.145707454,0.195273879,0.188267,0.150727103,0.151845857,0.167953444,0.143080284,0.207430213,0.207309805,0.203043507,0.193963317,0.18156026
0.1686267,0.2047251,0.201620274,0.160791595,0.362515998,0.18821494,0.19176303,0.19553073,0.18339422,0.20464905,0.111991834,0.108476838,0.114267769,0.079412789,0.15095042,0.15349333,0.15851378,0.16249552,0.151246651,0.143141289,0.184141637,0.189304012,0.111341031,0.115760239,0.134391008,0.118392829,0.161993586,0.157420622,0.163719328,0.147673029,0.1591037
0.0977216,0.1047634,0.168985112,0.154471268,0.153142753,0.19622411,0.19382365,0.20536661,0.18874083,0.20465702,0.087488135,0.087901947,0.089920438,0.088660756,0.12382041,0.12426807,0.1368109,0.13385919,0.177798739,0.15759106,0.182531821,0.155145024,0.091739724,0.100952451,0.115104002,0.118338649,0.10874331,0.105161523,0.101187556,0.107805185,0.14131042
0.1049551,0.3672716,0.184883756,0.094511387,0.104792316,0.15696777,0.15197322,0.15118894,0.14177905,0.14857437,0.077218578,0.084146314,0.077391703,0.103162069,0.1103613,0.10226598,0.115307055,0.109065026,0.131679792,0.104477047,0.122797499,0.106984471,0.067340907,0.078872482,0.086801846,0.089017168,0.103613962,0.098442597,0.092884057,0.108271872,0.09040837
0.0979933,0.1617766,0.125704386,0.106175079,0.257011103,0.15188394,0.13855904,0.15295243,0.14574817,0.15111738,0.060456379,0.067463286,0.059092121,0.084639859,0.11438685,0.10998449,0.11768132,0.12581788,0.140303636,0.120807498,0.177809448,0.116255446,0.081780331,0.102100324,0.097618867,0.110830649,0.109270938,0.108080461,0.099478655,0.11188686,0.12962717
0.1115016,0.07845,0.09904424,0.087246434,0.092140632,0.12564278,0.12670012,0.12798569,0.12687698,0.12141052,0.05117177,0.059831156,0.049578293,0.058196577,0.11487447,0.10788467,0.11351332,0.10588988,0.116438548,0.084804577,0.118454259,0.087426987,0.134688826,0.148401517,0.156270383,0.146374878,0.112509242,0.111441679,0.106153462,0.116642581,0.086596705
0.1216901,0.1126783,0.136985674,0.106441829,0.158598238,0.1267805,0.13087074,0.14002462,0.13073552,0.13279168,0.057555552,0.062541393,0.055913911,0.047314829,0.12818392,0.122693755,0.1285127,0.12841201,0.13264303,0.106621238,0.148004775,0.102497515,0.115129343,0.115194254,0.134943472,0.113171798,0.135666984,0.134832741,0.1285057,0.134547902,0.1058798
0.1175499,0.1596766,0.170493462,0.12200352,0.109785881,0.13477315,0.13938984,0.145163,0.14043427,0.1411698,0.104858707,0.100614265,0.107631465,0.10320125,0.16127628,0.15439346,0.16076824,0.15536296,0.137940225,0.111925931,0.149290408,0.112060843,0.159424433,0.151398982,0.17716245,0.150416719,0.137458377,0.139385902,0.132213154,0.137919354,0.13845117
0.3056703,0.2069316,0.207875618,0.116099483,0.108704971,0.13717541,0.1405002,0.14613248,0.1390284,0.14074,0.224158746,0.233337672,0.234660748,0.228162838,0.24163103,0.24138197,0.24932307,0.23750539,0.145659123,0.118761575,0.161560921,0.113979638,0.275375535,0.29983379,0.295156165,0.272885571,0.303846366,0.304824759,0.31056549,0.297746072,0.12472043
0.23095,0.199765,0.20358195,0.207861397,0.292202724,0.2528308,0.24427103,0.2559549,0.2545933,0.23647699,0.262454824,0.260218907,0.269913823,0.254358309,0.24831352,0.24298319,0.2587281,0.24741298,0.273660197,0.255892375,0.313320724,0.270792346,0.221923347,0.221124199,0.24146711,0.220090789,0.25876146,0.258050554,0.251992191,0.246464204,0.2238831
0.296813,0.1448767,0.20764501,0.189650924,0.396025722,0.23984891,0.23915105,0.23774108,0.23137642,0.24624106,0.238656848,0.235761924,0.243687959,0.245969267,0.2629475,0.27512392,0.26607373,0.27541432,0.26997192,0.251123657,0.295925804,0.281790876,0.203165186,0.21141896,0.220768196,0.2092133,0.274326395,0.271547105,0.276452216,0.2714447,0.20998803
0.2460214,0.1543716,0.177676364,0.190467773,0.194064427,0.3012517,0.26768368,0.28057012,0.2864031,0.2662445,0.206349377,0.194057684,0.209249844,0.207988802,0.24593262,0.24608676,0.26582134,0.24881698,0.302235573,0.290187534,0.334713633,0.233535444,0.263190046,0.281380793,0.281513941,0.284249868,0.259509546,0.252966749,0.248017633,0.247192162,0.22467992
0.1813417,0.1800499,0.209358236,0.215369531,0.305756271,0.26208606,0.2543471,0.25788534,0.2612894,0.26299253,0.225176513,0.219669358,0.224053361,0.203336545,0.20731097,0.21073075,0.20944674,0.21541154,0.264383821,0.238343389,0.271283628,0.216942083,0.201192058,0.205982051,0.218605234,0.212085725,0.177925863,0.173022692,0.159632549,0.183590733,0.22830382
0.1871001,0.1773666,0.189581672,0.183555017,0.166442421,0.24458526,0.22423254,0.23374142,0.23301032,0.22918111,0.228645483,0.231875017,0.225692822,0.233099428,0.21216415,0.21144506,0.21785219,0.20598233,0.232018339,0.22029386,0.233924001,0.195260647,0.130412798,0.152212133,0.143942077,0.15888165,0.190001279,0.19316955,0.181269162,0.200162323,0.18078484
0.2557283,0.1602682,0.164330502,0.192137764,0.174598245,0.20326474,0.2133327,0.22268243,0.2220329,0.22537431,0.187944395,0.201016893,0.188578706,0.202991401,0.24066788,0.23917031,0.23849557,0.2357985,0.219957436,0.195185944,0.245702285,0.199686038,0.188377337,0.210036209,0.206831838,0.210800766,0.255971454,0.257456808,0.246512436,0.263170268,0.1690249
0.2571216,0.12545,0.209155528,0.198253571,0.17487251,0.21951558,0.23595756,0.24566957,0.24580833,0.23463605,0.175588741,0.186011588,0.175483744,0.176769755,0.2280282,0.23236132,0.23277,0.2311367,0.251022332,0.232307991,0.279100771,0.233543262,0.180305221,0.181613541,0.2090606,0.169423254,0.264787792,0.267067294,0.25675958,0.258810785,0.19963443
