real_data,DecisionTree,RandomForest,SVR,MLP,GRU,LSTM,SLSTM,BiLSTM,NLSTM,EMD-LSTM,EMD-SLSTM,EMD-BiLSTM,EMD-NLSTM,SWT-LSTM,SWT-SLSTM,SWT-BiLSTM,SWT-NLSTM,EWT-LSTM,EWT-SLSTM,EWT-BiLSTM,EWT-NLSTM,VMD-LSTM,VMD-SLSTM,VMD-BiLSTM,VMD-NLSTM,SSA-PLSTM,SSA-SLSTM,SSA-BiLSTM,SSA-NLSTM,iTransformer,PREDS
0.086045,0.1099033,0.08024372,0.108425909,0.122075223,0.15213703,0.16996476,0.17770413,0.1368345,0.1424794,0.140285485,0.120376447,0.163070675,0.179702222,0.040897254,0.055804063,0.07367183,0.04652225,0.114913666,0.205012592,0.107996218,0.23441287,0.151179038,0.141610635,0.135964218,0.1520153,0.085508436,0.079713818,0.11343703,0.083781914,0.119555846,0.37008435
0.0677582,0.06756,0.100597024,0.092267989,0.105079279,0.13785018,0.15707904,0.15995204,0.122103505,0.12693004,0.123681591,0.109116393,0.144939546,0.216838376,0.045782346,0.06073338,0.06713775,0.05220965,0.099389602,0.193419593,0.093652232,0.223776354,0.133497647,0.122883081,0.11438534,0.131556096,0.06271526,0.053453511,0.091727777,0.059837861,0.08277166,0.35007578
0.0858201,0.1217116,0.099872548,0.078033529,0.084889872,0.11866383,0.13719995,0.13583437,0.102832854,0.1056574,0.110069599,0.101340797,0.131985902,0.232051199,0.07749121,0.08489728,0.09410304,0.07927902,0.088723944,0.183464147,0.085280136,0.206546019,0.121482156,0.112514459,0.095240459,0.1183354,0.084724687,0.075312114,0.114793389,0.082480119,0.06509927,0.3239546
0.10377,0.1034684,0.098037927,0.093443353,0.104831233,0.13431686,0.15170206,0.1550988,0.11874515,0.12228339,0.103664297,0.092279678,0.12734087,0.232381811,0.10144955,0.10382798,0.11773431,0.1008091,0.105655397,0.201336752,0.098727212,0.222006847,0.117228982,0.107017311,0.087551178,0.111450113,0.103243287,0.097732994,0.132555414,0.103352118,0.0847,0.32675746
0.0757666,0.0750368,0.080793042,0.108411803,0.121505672,0.15315656,0.17148088,0.17886922,0.13771534,0.14425115,0.094459735,0.082220217,0.118499738,0.219495791,0.09722622,0.10102783,0.117907465,0.09513299,0.114410082,0.213531418,0.104738939,0.237307864,0.110038474,0.093970959,0.083432355,0.10375078,0.07365851,0.067119454,0.101560302,0.071452683,0.11181718,0.32401797
0.0680899,0.0752134,0.107364525,0.083825744,0.09513287,0.12801372,0.14730982,0.14774966,0.1121777,0.115991056,0.076363256,0.071619634,0.099583567,0.19302943,0.08705717,0.09259039,0.10545175,0.08469987,0.087096886,0.18864343,0.078805574,0.209347973,0.103434571,0.086533989,0.081394488,0.097267678,0.063561858,0.053300124,0.093197721,0.060243268,0.07393831,0.28801823
0.0967751,0.099145,0.105877959,0.078301779,0.085666794,0.11804931,0.13607751,0.13483648,0.102270424,0.10468005,0.064733116,0.061588435,0.089046479,0.166605519,0.09459199,0.09831616,0.11000748,0.093697295,0.080036579,0.180667965,0.073387667,0.193445253,0.105158711,0.09120088,0.085501035,0.104476775,0.096067191,0.088189841,0.126140841,0.095327695,0.06463474,0.2771384
0.1014783,0.09753,0.131529189,0.102962928,0.114155484,0.14492734,0.16237631,0.16856971,0.1295757,0.13407557,0.06108676,0.050879492,0.085589553,0.142575125,0.10456313,0.1066114,0.1224401,0.10373512,0.09797982,0.199839067,0.087512072,0.211398042,0.106099424,0.091024596,0.090428051,0.108669435,0.101122142,0.0957897,0.129498173,0.100884643,0.113647565,0.27876425
0.0699067,0.0731316,0.095615667,0.106195336,0.118449507,0.15185851,0.17067602,0.17716268,0.13631852,0.14318796,0.052680841,0.040513117,0.074578963,0.111095703,0.09424521,0.09881894,0.11527115,0.09196068,0.089104958,0.192801463,0.076299206,0.208946556,0.101319471,0.083554682,0.090143391,0.102825305,0.066880711,0.059113923,0.095043122,0.063831242,0.10507491,0.2739295
0.0692584,0.0881433,0.08465359,0.079209947,0.088638616,0.12205985,0.14117505,0.14018905,0.10615665,0.10969022,0.039800659,0.033006956,0.060041144,0.083509149,0.085185975,0.091135144,0.10247688,0.08335911,0.053793641,0.156027572,0.042878927,0.170603855,0.102422658,0.087094721,0.091661801,0.102246061,0.065965128,0.055412697,0.096238492,0.062548391,0.06849882,0.22615339
