real_data,DecisionTree,RandomForest,SVR,MLP,GRU,LSTM,SLSTM,BiLSTM,NLSTM,EMD-LSTM,EMD-SLSTM,EMD-BiLSTM,EMD-NLSTM,SWT-LSTM,SWT-SLSTM,SWT-BiLSTM,SWT-NLSTM,EWT-LSTM,EWT-SLSTM,EWT-BiLSTM,EWT-NLSTM,VMD-LSTM,VMD-SLSTM,VMD-BiLSTM,VMD-NLSTM,SSA-PLSTM,SSA-SLSTM,SSA-BiLSTM,SSA-NLSTM,iTransformer
0.0171333,0.01709,0.016756464,0.0178514,0.016755228,0.017248372,0.017321026,0.017299905,0.017338442,0.018929942,0.01639134,0.015296123,0.01668409,0.015040105,0.006036392,0.00899226,0.002900905,0.009343056,0.014883316,0.021330243,0.017804928,0.019208775,0.017026444,0.017515504,0.022636065,0.020466223,0.017067842,0.017406052,0.021112243,0.017438847,0.01635918
0.017215,0.01705,0.01671553,0.018061824,0.017338775,0.017153464,0.017228581,0.017244311,0.017442893,0.018873869,0.017149239,0.015868688,0.017265728,0.015377741,0.006982236,0.009585558,0.003470364,0.009722075,0.015063282,0.021345502,0.017997837,0.019851659,0.017132074,0.017613618,0.022579465,0.020296974,0.017378903,0.017643226,0.021342772,0.017571105,0.01668561
0.017225,0.0171333,0.016924466,0.018291988,0.017462016,0.017227475,0.01732287,0.01740135,0.017709732,0.018971361,0.017334028,0.016013469,0.017613247,0.015705648,0.0137903,0.015658563,0.01024791,0.015465939,0.015297602,0.021564998,0.018271607,0.020275851,0.016947318,0.017470772,0.022477281,0.020214701,0.017386782,0.017722672,0.021594805,0.017610612,0.017146435
0.01699,0.0162683,0.016938218,0.018303388,0.017448843,0.017241199,0.017346358,0.017441815,0.017769631,0.018970422,0.016129582,0.014962452,0.016350772,0.014938361,0.01563274,0.0171697,0.01209766,0.016991103,0.015553079,0.021863971,0.018467554,0.020335353,0.016138385,0.016780272,0.021698198,0.019735044,0.016766477,0.017165738,0.021058562,0.017209714,0.01725114
0.0129367,0.0172317,0.014207866,0.018030706,0.017060628,0.016990228,0.01708902,0.017190289,0.01750109,0.018719183,0.013970989,0.012903594,0.014068627,0.013029292,0.013533531,0.015637372,0.009941163,0.015400177,0.015391181,0.021683327,0.018240553,0.02009158,0.014592115,0.015746313,0.020313575,0.018902169,0.01324383,0.013673626,0.017584294,0.013790459,0.016754888
0.01134,0.0178533,0.01175608,0.013479105,0.010875021,0.012627158,0.012631949,0.012833124,0.013047285,0.014680918,0.010584736,0.009900094,0.010750407,0.009185812,0.010937,0.012296144,0.007145798,0.01208704,0.010856336,0.016478838,0.013372313,0.014435017,0.012427725,0.011978452,0.017473825,0.014034557,0.01092122,0.011499165,0.015181836,0.011987734,0.012376254
0.0112317,0.01132,0.011270529,0.012487467,0.011752572,0.010662604,0.010640074,0.011013176,0.011326142,0.013644645,0.01054243,0.009729706,0.010964142,0.009253849,0.010391394,0.011898009,0.006588394,0.011658099,0.010325703,0.016823157,0.013379175,0.015497449,0.01251147,0.011770753,0.017272797,0.014414516,0.011247169,0.011866907,0.015544311,0.012220018,0.011198368
0.0112567,0.0113083,0.011373184,0.013086213,0.012774019,0.010394828,0.010491904,0.010903677,0.011461057,0.013755713,0.010438881,0.009432503,0.010950699,0.009513756,0.010491867,0.012246806,0.006718437,0.012033962,0.010369152,0.016750892,0.01309374,0.014521144,0.012875726,0.012257807,0.017754569,0.015543712,0.011404197,0.011882629,0.015821306,0.012008025,0.011550186
0.0112817,0.0112417,0.011755912,0.013666736,0.011886911,0.010407282,0.010621766,0.011115961,0.011668397,0.013799634,0.011247048,0.010163955,0.011842604,0.009824822,0.010499509,0.012371758,0.00664722,0.012044065,0.010689781,0.01759881,0.013544192,0.015623745,0.012878719,0.012514792,0.017644139,0.015286834,0.011426322,0.011835451,0.015876593,0.01175123,0.011391582
0.011275,0.0113,0.011633862,0.013603584,0.012464836,0.010459259,0.010734253,0.011305224,0.011675585,0.013818722,0.011885843,0.010726503,0.01239612,0.010391301,0.010381714,0.012352621,0.006366613,0.012045004,0.010981749,0.018153909,0.013764496,0.015295933,0.012925026,0.012345842,0.017618596,0.014929081,0.011591113,0.011965757,0.01605545,0.011802416,0.012447169
0.0112467,0.0112783,0.011500228,0.013410844,0.0124756,0.010474546,0.010771491,0.011360994,0.011523167,0.013809323,0.011967713,0.010969743,0.012464243,0.010622938,0.010307875,0.012249898,0.006193528,0.011993801,0.011134393,0.018473181,0.014010277,0.015945948,0.013000184,0.011932233,0.017762162,0.014825904,0.011494108,0.011758861,0.015895048,0.01167383,0.011698552
0.0112617,0.0112467,0.01128077,0.013107589,0.011719485,0.010453882,0.010749018,0.011301218,0.011309112,0.013783224,0.011257989,0.010498507,0.011768262,0.010353341,0.010488234,0.012184508,0.006391863,0.011963911,0.011318284,0.018867188,0.014123238,0.015916147,0.012877577,0.011578241,0.017628517,0.014751901,0.011306507,0.011648889,0.015767697,0.011646338,0.011488799
