Number-of-Subsequence,Filename,MAE,MSE,RMSE,MAPE,MSPE,R2,TIME,,Filename,MAE-2,MSE-2,RMSE-2,MAPE-2,MSPE-2,R2-2,TIME-2,,Filename,MAE-3,MSE-3,RMSE-3,MAPE-3,MSPE-3,R2-3,TIME-3,,Filename,MAE-4,MSE-4,RMSE-4,MAPE-4,MSPE-4,R2-4,TIME-4,,Filename,MAE-5,MSE-5,RMSE-5,MAPE-5,MSPE-5,R2-5,TIME-5
1,house1_it1_sn1_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.009801323,0.000530342,0.023029156,0.18105757,0.14997824,0.482641977,70.94567037,,house2_it1_sn1_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.009093344,0.000587332,0.024234943,0.18039553,0.158122,0.616886949,76.97337008,,house3_it1_sn1_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.02092045,0.001902622,0.043619055,0.6059611,2.5188622,0.474747813,225.2051654,,house4_it1_sn1_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.011838534,0.000681502,0.026105594,0.30045432,0.22526771,0.536406536,231.1542301,,house5_it1_sn1_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.007467536,0.000575723,0.023994222,0.084146984,0.05517707,0.723587135,67.23078561
2,house1_it1_sn2_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002802929,3.18E-05,0.005634962,0.065189704,0.01791132,0.969024587,68.15589929,,house2_it1_sn2_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.002321364,2.81E-05,0.005300389,0.052979838,0.009644875,0.98167439,76.56507254,,house3_it1_sn2_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.01488341,0.001317347,0.03629528,0.32410318,0.7744064,0.63632311,224.3782938,,house4_it1_sn2_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.01057385,0.000536579,0.023164174,0.27246952,0.20489709,0.634990839,231.418575,,house5_it1_sn2_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002990615,0.000270971,0.016461197,0.040834416,0.07097467,0.869902854,66.16517925
3,house1_it1_sn3_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002478525,2.40E-05,0.004894751,0.060254976,0.016296389,0.976627977,65.93911886,,house2_it1_sn3_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.002498459,3.54E-05,0.005952513,0.060796782,0.019149745,0.976887669,77.88054538,,house3_it1_sn3_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.005614065,0.000164726,0.012834556,0.15686855,0.14457364,0.954524542,224.8023779,,house4_it1_sn3_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.01168921,0.000645149,0.025399785,0.3016011,0.22239548,0.561135717,235.338798,,house5_it1_sn3_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002955729,9.76E-05,0.009881567,0.039954934,0.01865527,0.953119031,67.3502624
4,house1_it1_sn4_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.00245691,2.29E-05,0.004785583,0.05646003,0.011976959,0.977658878,67.07182908,,house2_it1_sn4_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.002310942,3.15E-05,0.005615507,0.054752223,0.011245506,0.97943063,78.5761025,,house3_it1_sn4_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.004057664,7.73E-05,0.008793328,0.11303538,0.0718254,0.978653731,216.8180685,,house4_it1_sn4_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.004137819,8.34E-05,0.009129876,0.112755105,0.034948558,0.943297799,238.0816791,,house5_it1_sn4_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002339632,3.93E-05,0.006269689,0.03463386,0.008240415,0.981127175,66.63187027
5,house1_it1_sn5_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002342008,2.05E-05,0.004530709,0.05505981,0.011135899,0.979975226,65.69701791,,house2_it1_sn5_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.002129071,2.32E-05,0.004819081,0.05130915,0.011712629,0.984851437,82.1746068,,house3_it1_sn5_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.008842477,0.000432679,0.020800943,0.23922473,0.37380376,0.8805513,234.0097451,,house4_it1_sn5_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.012073044,0.000685149,0.02617535,0.3157281,0.2594165,0.533925732,234.1919765,,house5_it1_sn5_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002180014,3.01E-05,0.00548905,0.032758657,0.006466315,0.985534307,66.21586585
6,house1_it1_sn6_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002267588,1.79E-05,0.004236736,0.05370903,0.010506862,0.982489526,66.27206254,,house2_it1_sn6_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.00194925,1.91E-05,0.004370101,0.04678037,0.008657368,0.987542642,83.0334475,,house3_it1_sn6_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.007421045,0.000241872,0.015552247,0.1994169,0.21301056,0.933226886,230.0365882,,house4_it1_sn6_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.002316424,2.13E-05,0.004611469,0.06759501,0.011494975,0.985533989,233.7966881,,house5_it1_sn6_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002133972,2.65E-05,0.005152651,0.032881837,0.006288183,0.987253047,66.01312661
7,house1_it1_sn7_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002091198,1.45E-05,0.00380573,0.04938729,0.007859007,0.985871013,66.75274849,,house2_it1_sn7_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.001920014,1.77E-05,0.004209909,0.045551367,0.006383242,0.988439186,86.48524022,,house3_it1_sn7_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.006266177,0.000170952,0.013074878,0.17626907,0.15350786,0.952805575,228.0474033,,house4_it1_sn7_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.00714897,0.0002406,0.015511277,0.19278894,0.09725224,0.836331463,230.8747969,,house5_it1_sn7_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.001802084,2.03E-05,0.004504892,0.027558155,0.00480672,0.99025653,65.926548
8,house1_it1_sn8_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.002075206,1.49E-05,0.003865369,0.046929378,0.006535348,0.985424716,66.31467986,,house2_it1_sn8_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.00200145,1.85E-05,0.004306858,0.047899567,0.006457959,0.987900591,91.55739164,,house3_it1_sn8_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.008862393,0.000379279,0.019475097,0.23919538,0.30437815,0.895293263,226.3104222,,house4_it1_sn8_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.001764937,1.22E-05,0.00349465,0.05190787,0.00700252,0.991692363,262.9669526,,house5_it1_sn8_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.001763651,1.73E-05,0.004155189,0.027058575,0.003378168,0.991710537,65.66055512
9,house1_it1_sn9_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.001907909,1.19E-05,0.00345668,0.045809362,0.006096146,0.988343894,66.45474315,,house2_it1_sn9_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.001739845,1.33E-05,0.003644922,0.044441115,0.006270779,0.991333985,95.63294721,,house3_it1_sn9_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.00373165,5.47E-05,0.007398126,0.11125413,0.055048466,0.984890197,226.6973069,,house4_it1_sn9_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.001641778,1.13E-05,0.003358464,0.046092942,0.005264413,0.992327241,265.7123981,,house5_it1_sn9_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.001933958,2.00E-05,0.004470944,0.02973624,0.004472596,0.990402828,64.88397336
10,house1_it1_sn10_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.001931417,1.22E-05,0.003485982,0.045334183,0.005497478,0.988145437,65.25797915,,house2_it1_sn10_ssa_ITF_dm1024_df1024_el3_lr0.0001_bs16.csv,0.00187833,1.49E-05,0.003862436,0.0490464,0.008002967,0.990268821,97.35106349,,house3_it1_sn10_ssa_ITF_dm512_df1024_el6_lr0.0001_bs8.csv,0.004314354,7.24E-05,0.008509724,0.121967964,0.058968812,0.980008459,229.3496616,,house4_it1_sn10_ssa_ITF_dm1024_df256_el6_lr0.0001_bs8.csv,0.001600016,1.04E-05,0.003229869,0.047040354,0.006785073,0.992903572,241.9439602,,house5_it1_sn10_ssa_ITF_dm512_df1024_el3_lr0.0001_bs16.csv,0.001929348,1.86E-05,0.004318121,0.03080293,0.004423015,0.991047703,66.39897609
