TRUES,PREDS,MAE,MSE,RMSE,MAPE,MSPE,R2
0.010761701,0.010712702,0.009825525,0.00051477493,0.022688651,0.18732382,0.15372168,0.539864304570604
0.009646846,0.010731041,,,,,,
0.010292912,0.00992251,,,,,,
0.010584883,0.010559473,,,,,,
0.0127202645,0.010415267,,,,,,
0.0116016045,0.012007039,,,,,,
0.01006216,0.011165056,,,,,,
0.0130372215,0.010233862,,,,,,
0.012175798,0.0127821695,,,,,,
0.015696852,0.01170129,,,,,,
0.016891781,0.014227796,,,,,,
0.010500953,0.014439182,,,,,,
0.011005927,0.011576885,,,,,,
0.035355806,0.011163846,,,,,,
0.04823832,0.030624148,,,,,,
0.04619315,0.035107594,,,,,,
0.045524325,0.03089368,,,,,,
0.03539694,0.031044519,,,,,,
0.053836558,0.030148646,,,,,,
0.042502843,0.045673247,,,,,,
0.04067349,0.038608205,,,,,,
0.042246804,0.042581,,,,,,
0.034942012,0.040530756,,,,,,
0.035610054,0.037406735,,,,,,
0.034215327,0.035917312,,,,,,
0.025375683,0.033901505,,,,,,
0.021785043,0.029249681,,,,,,
0.022644602,0.023616271,,,,,,
0.018426493,0.023019478,,,,,,
0.019288504,0.02038533,,,,,,
0.01718339,0.020160085,,,,,,
0.019140566,0.018078923,,,,,,
0.018443262,0.019691966,,,,,,
0.02215775,0.01823083,,,,,,
0.020360336,0.021030016,,,,,,
0.018945167,0.019558571,,,,,,
0.015166452,0.018985212,,,,,,
0.016658347,0.014593061,,,,,,
0.013226274,0.016205357,,,,,,
0.013568202,0.013362005,,,,,,
0.011243608,0.013904294,,,,,,
0.01407519,0.01159744,,,,,,
0.0098358635,0.013851611,,,,,,
0.013336603,0.010552833,,,,,,
0.009596439,0.013053136,,,,,,
0.018923966,0.009894539,,,,,,
0.13841732,0.018167548,,,,,,
0.026272206,0.100731745,,,,,,
0.012523621,0.02941497,,,,,,
0.040741082,0.024858791,,,,,,
0.09422532,0.040961422,,,,,,
0.042277314,0.07165306,,,,,,
0.03835318,0.043714855,,,,,,
0.041875802,0.041014124,,,,,,
0.038289137,0.0405397,,,,,,
0.027753782,0.03678202,,,,,,
0.02152507,0.027391916,,,,,,
0.021972356,0.025022311,,,,,,
0.0200859,0.026510257,,,,,,
0.026861357,0.021488532,,,,,,
0.025438517,0.025865296,,,,,,
0.024467427,0.024745902,,,,,,
0.023230748,0.024717975,,,,,,
0.024172971,0.022413932,,,,,,
0.022971818,0.023528563,,,,,,
0.024173368,0.022248982,,,,,,
0.023235109,0.023495082,,,,,,
0.0247115,0.022918453,,,,,,
0.024304893,0.024105757,,,,,,
0.029924996,0.023621816,,,,,,
0.030703038,0.028194644,,,,,,
0.029036855,0.027659316,,,,,,
0.029530307,0.02707178,,,,,,
0.03275483,0.02768882,,,,,,
0.030148758,0.030398201,,,,,,
0.033062246,0.029299904,,,,,,
