NAME-all,MAE-all,MAPE-all,RMSE-all,R2-all,,MAE-all-10,MAPE-all-10,RMSE-all-10,R2-all-10,,MAE-all-20,MAPE-all-20,RMSE-all-20,R2-all-20,,MAE-all-30,MAPE-all-30,RMSE-all-30,R2-all-30
dTr,0.0144,0.2951,0.031,0.0645,,0.0334,0.3761,0.062,-0.1264,,0.0722,0.4385,0.1239,-0.3682,,0.1077,0.408,0.1693,-0.3036
rDf,0.0106,0.2182,0.0227,0.4962,,0.0243,0.268,0.0446,0.4174,,0.0543,0.3127,0.0911,0.2601,,0.0818,0.3157,0.1257,0.2808
SVR,0.0093,0.1606,0.0231,0.48,,0.0216,0.2034,0.0458,0.3844,,0.0477,0.2322,0.0897,0.2821,,0.0774,0.2549,0.132,0.2078
MLP,0.0108,0.22,0.0229,0.4871,,0.0266,0.2918,0.0502,0.2633,,0.0669,0.3828,0.1099,-0.0781,,0.135,0.4796,0.3175,-3.5859
LSTM,0.0108,0.2258,0.0225,0.5041,,0.0245,0.2827,0.0427,0.4671,,0.0539,0.3293,0.0877,0.3132,,0.0828,0.34,0.1235,0.3064
NLSTM,0.0102,0.2015,0.0217,0.5395,,0.0252,0.2738,0.0444,0.4237,,0.0548,0.3288,0.0881,0.3073,,0.0843,0.3405,0.1266,0.2713
iTransformer,0.0098,0.181,0.023,0.4823,,0.0231,0.2344,0.0445,0.421,,0.0506,0.2755,0.0917,0.2506,,0.0851,0.3258,0.1334,0.1906
EWT-LSTM,0.0114,0.2647,0.0217,0.5412,,0.0224,0.2433,0.042,0.4839,,0.048,0.2642,0.0839,0.3722,,0.0769,0.2958,0.1199,0.3458
EWT-ITF,0.0098,0.1879,0.0227,0.5377,,0.0226,0.2331,0.0441,0.485,,0.0504,0.2793,0.09,0.355,,0.0841,0.3293,0.1313,0.3203
EMD-LSTM,0.0111,0.2929,0.0177,0.6938,,0.0223,0.299,0.0341,0.6591,,0.0388,0.2474,0.0586,0.6942,,0.056,0.2393,0.0814,0.6986
VMD-LSTM,0.0075,0.1702,0.0131,0.8324,,0.0153,0.2002,0.0232,0.8421,,0.0361,0.2292,0.0515,0.7637,,0.069,0.2721,0.0951,0.5888
VMD-ITF,0.0063,0.1479,0.0113,0.8761,,0.0146,0.1862,0.023,0.8454,,0.0343,0.2169,0.048,0.7943,,0.0522,0.2354,0.0708,0.7725
SWT-LSTM,0.0044,0.0913,0.0092,0.9175,,0.0099,0.1156,0.0178,0.9068,,0.0238,0.1389,0.0386,0.867,,0.0335,0.1408,0.0516,0.879
SWT-ITF,0.0027,0.0596,0.006,0.9646,,0.006,0.0695,0.0129,0.9508,,0.0123,0.0689,0.0243,0.9471,,0.0193,0.0802,0.0326,0.9515
SSA-LSTM,0.0037,0.0918,0.0054,0.9712,,0.0045,0.0565,0.0076,0.9832,,0.0103,0.0713,0.0155,0.9786,,0.0175,0.0703,0.0271,0.9666
PROPOSED,0.0018,0.0448,0.003,0.9917,,0.0042,0.0565,0.0064,0.9878,,0.0106,0.0728,0.0146,0.9808,,0.0164,0.0755,0.0219,0.9782
