NAME-all,MAE-all,MAPE-all,RMSE-all,R2-all,,MAE-all-10,MAPE-all-10,RMSE-all-10,R2-all-10,,MAE-all-20,MAPE-all-20,RMSE-all-20,R2-all-20,,MAE-all-30,MAPE-all-30,RMSE-all-30,R2-all-30
dTr,0.0126,0.2904,0.0318,0.3415,,0.0311,0.3646,0.0703,0.0772,,0.0598,0.3303,0.1325,0.0472,,0.0894,0.4092,0.1676,0.1559
rDf,0.0101,0.2351,0.0241,0.6226,,0.0222,0.257,0.0465,0.5964,,0.0469,0.2726,0.0993,0.465,,0.069,0.2935,0.1185,0.5779
SVR,0.0089,0.1624,0.025,0.5925,,0.0197,0.1773,0.0483,0.565,,0.0427,0.1926,0.1031,0.4228,,0.066,0.2285,0.1277,0.51
MLP,0.0105,0.2317,0.0257,0.571,,0.0233,0.2701,0.0491,0.5492,,0.0484,0.273,0.0958,0.5018,,0.0768,0.3087,0.1523,0.3034
LSTM,0.0089,0.1796,0.0234,0.6443,,0.0207,0.2152,0.0465,0.5959,,0.0473,0.2493,0.0998,0.4597,,0.0721,0.2945,0.1244,0.5351
NLSTM,0.0084,0.1623,0.023,0.6541,,0.0191,0.1905,0.0458,0.6084,,0.0408,0.2095,0.0941,0.5198,,0.0654,0.25,0.1217,0.5549
iTransformer,0.0091,0.1805,0.0242,0.6169,,0.0222,0.2324,0.051,0.5147,,0.0478,0.2442,0.1066,0.3833,,0.0752,0.2831,0.1406,0.406
EWT-LSTM,0.0101,0.2341,0.0235,0.6398,,0.0271,0.3546,0.0491,0.5507,,0.0557,0.3698,0.0967,0.4927,,0.0738,0.3201,0.1155,0.5994
EWT-ITF,0.0093,0.1965,0.0241,0.6484,,0.0226,0.2622,0.0497,0.6135,,0.0464,0.2654,0.1024,0.5327,,0.072,0.306,0.1311,0.6095
EMD-LSTM,0.0096,0.2848,0.0171,0.8088,,0.0233,0.3114,0.0401,0.7,,0.06,0.4352,0.0887,0.5733,,0.0755,0.3819,0.1109,0.6305
VMD-LSTM,0.0068,0.1747,0.0125,0.8974,,0.0163,0.2132,0.0274,0.8595,,0.0398,0.2894,0.0623,0.7896,,0.0567,0.2796,0.0815,0.8003
VMD-ITF,0.0066,0.1675,0.0129,0.8921,,0.0153,0.2013,0.0265,0.8689,,0.0344,0.2762,0.0611,0.7996,,0.054,0.2596,0.0781,0.8163
SWT-LSTM,0.004,0.0869,0.0097,0.9391,,0.0091,0.0972,0.0202,0.924,,0.0229,0.1367,0.0456,0.8873,,0.0343,0.1566,0.0569,0.9029
SWT-ITF,0.003,0.069,0.0073,0.9654,,0.006,0.0681,0.0128,0.9694,,0.0193,0.1234,0.0335,0.939,,0.0213,0.0938,0.0365,0.9596
SSA-LSTM,0.0019,0.05,0.0035,0.992,,0.0047,0.0593,0.009,0.9848,,0.0132,0.0928,0.0228,0.9719,,0.0254,0.1299,0.0351,0.9631
PROPOSED,0.0017,0.0444,0.0036,0.9913,,0.0046,0.0628,0.0089,0.9853,,0.0109,0.0801,0.017,0.9843,,0.0137,0.0655,0.0213,0.9863
